cve,created_at,source,body
['CVE-2024-56523'],2025-05-08,mastodon, Radware Cloud WAF flaws let attackers bypass filters. Learn about CVE-2024-56523 & 56524 and secure your systems now. # SecurityLand   # CyberWatch   # SecurityVulnerability   # CVE   # Radware   # Cloud   # WAF Read More:  https://www. security.land/critical-securit y-flaws-in-radware-cloud-waf-risk-filter-bypass-patch-now/
['CVE-2025-46337'],2025-05-08,mastodon, A severe SQL injection vulnerability (CVE-2025-46337) has been discovered in the ADOdb PostgreSQL driver. Developers using PHP + PostgreSQL must update to version 5.22.9 immediately to stay secure. # SecurityLand   # CyberWatch   # SecurityVulnerability   # CVE   # ADOdb   # PostgreSQL   # PHP   # SQLInjection Read More:  https://www. security.land/critical-sql-inj ection-vulnerability-found-in-adodb-postgresql-driver/
['CVE-2025-43928'],2025-05-08,mastodon,Schöner Vortrag von    @ TimPhSchaefers  zu einer Path Traversal Lücke (CVE-2025-43928) in Überwachungstechnik und die Odyssee den Hersteller zur Behebung zu bewegen. https:// media.ccc.de/v/dg-113 # cve   # pathtraversal   # ccc   # cert   # datengarten
['CVE-2023-4089'],2025-05-07,mastodon,"# OT   # Advisory   # Update  VDE-2023-046 WAGO: Multiple products vulnerable to local file inclusion An attacker with administrative privileges which can access sensitive files can additionally access them in an unintended, undocumented way. UPDATE 07.05.2025: The fixed versions have been updated, because the previously mentioned versions are still vulnerable to this issue. More details have been added to the hardware devices. More affected version numbers were added to the firmwares. # CVE  CVE-2023-4089 https:// certvde.com/en/advisories/VDE- 2023-046 # CSAF   https:// wago.csaf-tp.certvde.com/.well -known/csaf/white/2023/vde-2023-046.json"
['CVE-2025-27363'],2025-05-07,mastodon,"Google Rolls Out May 2025 Android Security Bulletin, Fixes 46 Vulnerabilities Including CVE-2025-27363  https:// thecyberexpress.com/android-se curity-bulletin-2/"
['CVE-2025-3020'],2025-05-06,mastodon,# OT   # Advisory  VDE-2025-032 Wiesemann & Theis: Multiple W&T Products are vulnerable to cross-site-scripting Multiple W&T Products are prone to an XSS attack. An authenticated remote Attacker can execute arbitrary web scripts or HTML via crafted payloads injected into several input fields of the configuration webpage. # CVE  CVE-2025-3020 https:// certvde.com/en/advisories/VDE- 2025-032 # CSAF   https:// wut.csaf-tp.certvde.com/.well- known/csaf/white/2025/vde-2025-032.json
['CVE-2025-3200'],2025-05-06,mastodon,"# OT   # Advisory  VDE-2025-031 Wiesemann & Theis: Multiple products from Wiesemann & Theis support deprecated TLS protocol versions Com-Server firmware versions prior to 1.60 support the insecure TLS 1.0 and TLS 1.1 protocols, which are susceptible to man-in-the-middle attacks and thereby compromise the confidentiality and integrity of data. # CVE  CVE-2025-3200 https:// certvde.com/en/advisories/VDE- 2025-031 # CSAF   https:// wut.csaf-tp.certvde.com/.well- known/csaf/white/2025/vde-2025-031.json"
['CVE-2025-2595'],2025-05-06,mastodon,"# OT   # Advisory  VDE-2025-027 CODESYS Visualization user management bypass in WebVisu An unauthenticated attacker can read static visualization files of the CODESYS WebVisu, by bypassing the CODESYS Visualization user management applying forced browsing. # CVE  CVE-2025-2595 https:// certvde.com/en/advisories/VDE- 2025-027 # CSAF   https:// codesys.csaf-tp.certvde.com/.w ell-known/csaf/white/2025/advisory2025-05_vde-2025-027.json"
['CVE-2025-32444'],2025-04-30,mastodon,"CVE-2025-32444 - ""vLLM Mooncake ZeroMQ Remote Code Execution"" April 30, 2025 at 01:15AM  https:// ift.tt/n6gGmCe   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-29906'],2025-04-29,mastodon,"CVE-2025-29906 - Finit TTY Authentication Bypass Vulnerability April 29, 2025 at 11:16PM  https:// ift.tt/R7GM2u5   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-46348'],2025-04-29,mastodon,"CVE-2025-46348 - YesWiki Unauthenticated Archive Creation and Download Vulnerability April 29, 2025 at 09:15PM  https:// ift.tt/eXf0uoc   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3501'],2025-04-29,mastodon,"CVE-2025-3501 - Keycloak Certificate Verification Bypass April 29, 2025 at 09:15PM  https:// ift.tt/ntewjW4   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-4039'],2025-04-29,mastodon,"CVE-2025-4039 - PHPGurukul Rail Pass Management System SQL Injection April 28, 2025 at 10:15PM  https:// ift.tt/TV5nkSy   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-23181'],2025-04-29,mastodon,"CVE-2025-23181 - Apache Tomcat Unprivileged Command Execution Vulnerability April 29, 2025 at 05:15PM  https:// ift.tt/ex8Rh2O   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-23180'],2025-04-29,mastodon,"CVE-2025-23180 - Apache HTTP Server Unprivileged Process Execution April 29, 2025 at 05:15PM  https:// ift.tt/VTu8foE   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-2907'],2025-04-29,mastodon,"CVE-2025-2907 - WordPress Order Delivery Date Plugin Authentication Bypass and CSRF Vulnerability April 26, 2025 at 06:15AM  https:// ift.tt/rv52i7n   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-32433'],2025-04-29,mastodon,"[Перевод] Как я использовал ИИ для создания рабочего эксплойта для CVE-2025-32433 до появления публичных PoC Может ли ИИ просто написать эксплойт за меня? GPT-4 не только понял описание CVE, но и выяснил, какой коммит ввел исправление, сравнил его со старым кодом, нашел разницу, нашел уязвимость и даже написал доказательство концепции. Давайте рассмотрим, как я к этому пришел. https:// habr.com/ru/articles/905552/ # gpt   # информационная_безопасность   # cve   # ai   # искусственный_интеллект   # cursor   # pentest   # penetration_testing   # poc"
['CVE-2025-2817'],2025-04-29,mastodon,"CVE-2025-2817 - Mozilla Firefox System File Privilege Escalation April 29, 2025 at 02:15PM  https:// ift.tt/tk8vGif   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-24252'],2025-04-29,mastodon,"CVE-2025-24252 - Apple macOS Use-After-Free Vulnerability April 29, 2025 at 03:15AM  https:// ift.tt/7qpdEK0   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-45953'],2025-04-29,mastodon,"CVE-2025-45953 - PHPGurukul Hostel Management System Session Hijacking April 28, 2025 at 08:15PM  https:// ift.tt/ZGoefvT   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-45949'],2025-04-29,mastodon,"CVE-2025-45949 - PHPGurukul User Registration & Login and User Management System Session Hijacking Vulnerability April 28, 2025 at 08:15PM  https:// ift.tt/MKp5ANe   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-45947'],2025-04-29,mastodon,"CVE-2025-45947 - PhpGurukul Online Banquet Booking System Remote Code Execution Vulnerability April 28, 2025 at 08:15PM  https:// ift.tt/8SfwqNz   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-43857'],2025-04-29,mastodon, Lambda Watchdog detected a new MEDIUM severity CVE    CVE-2025-43857 was detected in the latest AWS Lambda image scan affecting the net-imap package in 4 images. Check the full report   https:// lambdawatchdog.com/   # AWS   # Lambda   # CVE   # CloudSecurity   # Serverless
['CVE-2025-34491'],2025-04-28,mastodon,"CVE-2025-34491 - GFI MailEssentials .NET Deserialization Remote Code Execution Vulnerability April 28, 2025 at 08:15PM  https:// ift.tt/d4awMG7   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2015-2079'],2025-04-28,mastodon,"CVE-2015-2079 - Usermin File Open Vulnerability April 28, 2025 at 03:15PM  https:// ift.tt/eyJo1OC   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-46661'],2025-04-28,mastodon,"CVE-2025-46661 - IPW Systems Metazo Server-Side Template-Injection Vulnerability April 28, 2025 at 01:15PM  https:// ift.tt/aVEkh3F   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3200'],2025-04-28,mastodon,"CVE-2025-3200 - ""Com-Server TLS Protocol Downgrade Vulnerability"" April 28, 2025 at 10:15AM  https:// ift.tt/WVB4IuR   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-4007'],2025-04-28,mastodon,"CVE-2025-4007 - Tenda W12 and i24 HTTPd Stack-Based Buffer Overflow Vulnerability April 28, 2025 at 08:15AM  https:// ift.tt/h0SLtTY   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3993'],2025-04-28,mastodon,"CVE-2025-3993 - TOTOLINK N150RT Buffer Overflow Vulnerability April 28, 2025 at 01:15AM  https:// ift.tt/7Ez5bKT   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3992'],2025-04-28,mastodon,"CVE-2025-3992 - TOTOLINK N150RT Buffer Overflow Vulnerability April 28, 2025 at 12:15AM  https:// ift.tt/va4fUKB   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3991'],2025-04-28,mastodon,"CVE-2025-3991 - TOTOLINK N150RT Buffer Overflow Vulnerability April 28, 2025 at 12:15AM  https:// ift.tt/YAUuNgj   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-26692'],2025-04-28,mastodon,"CVE-2025-26692 - Quick Agent Path Traversal Vulnerability April 28, 2025 at 12:15AM  https:// ift.tt/eS0hNER   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3990'],2025-04-28,mastodon,"CVE-2025-3990 - TOTOLINK N150RT Buffer Overflow Vulnerability April 27, 2025 at 11:15PM  https:// ift.tt/NVxLzWo   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3989'],2025-04-28,mastodon,"CVE-2025-3989 - TOTOLINK N150RT Buffer Overflow Vulnerability April 27, 2025 at 11:15PM  https:// ift.tt/vYo38sJ   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3988'],2025-04-27,mastodon,"CVE-2025-3988 - TOTOLINK N150RT Buffer Overflow Vulnerability April 27, 2025 at 10:15PM  https:// ift.tt/SqW5cH4   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-46579'],2025-04-27,mastodon,"CVE-2025-46579 - GoldenDB DDE Injection Vulnerability April 27, 2025 at 02:15AM  https:// ift.tt/rc5pXPE   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-2101'],2025-04-26,mastodon,"CVE-2025-2101 - Edumall WordPress Local File Inclusion Vulnerability April 26, 2025 at 09:15AM  https:// ift.tt/5eT9g6M   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-2851'],2025-04-26,mastodon,"CVE-2025-2851 - GL.iNet RPC Handler Buffer Overflow April 26, 2025 at 08:15AM  https:// ift.tt/8E15efL   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3914'],2025-04-26,mastodon,"CVE-2025-3914 - Airtable Aeropage Sync for WordPress Unauthenticated Arbitrary File Upload Vulnerability April 26, 2025 at 06:15AM  https:// ift.tt/lWwfYmA   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3906'],2025-04-26,mastodon,"CVE-2025-3906 - Eduzz WooCommerce Unauthorized Data Modification Vulnerability April 26, 2025 at 06:15AM  https:// ift.tt/IxSB9Ao   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-2105'],2025-04-26,mastodon,"CVE-2025-2105 - Jupiter X Core WordPress PHP Object Injection Vulnerability April 26, 2025 at 06:15AM  https:// ift.tt/A8Qu9Cr   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2024-13808'],2025-04-26,mastodon,"CVE-2024-13808 - Xpro Elementor Addons - Pro WordPress Remote Code Execution Vulnerability April 26, 2025 at 05:15AM  https:// ift.tt/U3sHLgY   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3935'],2025-04-25,mastodon,"CVE-2025-3935 - ScreenConnect ASP.NET ViewState Code Injection Vulnerability April 25, 2025 at 07:15PM  https:// ift.tt/Ybg4qIL   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-25775'],2025-04-25,mastodon,"CVE-2025-25775 - Codeastro Bus Ticket Booking System SQL Injection Vulnerability April 25, 2025 at 05:15PM  https:// ift.tt/jtUmBOV   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3638'],2025-04-25,mastodon,"CVE-2025-3638 - Moodle CSRF in Brickfield Tool April 25, 2025 at 03:15PM  https:// ift.tt/eoCNx7c   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-25777'],2025-04-25,mastodon,"CVE-2025-25777 - Codeastro Bus Ticket Booking System IDOR April 24, 2025 at 09:15PM  https:// ift.tt/zm45iUN   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3928'],2025-04-25,mastodon,"CVE-2025-3928 - Commvault Web Server Remote Webshell Execution April 25, 2025 at 04:15PM  https:// ift.tt/VvsJ5H2   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3642'],2025-04-25,mastodon,"CVE-2025-3642 - Moodle EQUELLA Remote Code Execution Vulnerability April 25, 2025 at 03:15PM  https:// ift.tt/yfFjwrG   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3641'],2025-04-25,mastodon,"CVE-2025-3641 - Moodle Dropbox Repository Remote Code Execution Vulnerability April 25, 2025 at 03:15PM  https:// ift.tt/tYWx3Xl   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-32432'],2025-04-25,mastodon,"CVE-2025-32432 - Craft CMS Remote Code Execution Vulnerability April 25, 2025 at 03:15PM  https:// ift.tt/t9ET6L1   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-2470'],2025-04-25,mastodon,"CVE-2025-2470 - Nextend Social Login WordPress Plugin Privilege Escalation Vulnerability April 25, 2025 at 12:15PM  https:// ift.tt/qsLtvJ4   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2024-11917'],2025-04-25,mastodon,"CVE-2024-11917 - Xing and Google Vulnerability: Authentication Bypass in JobSearch WP Job Board Plugin April 25, 2025 at 12:15PM  https:// ift.tt/YyiEC3M   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-1279'],2025-04-25,mastodon,"CVE-2025-1279 - ""WordPress BM Content Builder Unauthenticated Privilege Escalation"" April 25, 2025 at 09:15AM  https:// ift.tt/k4Gf9nX   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-46616'],2025-04-25,mastodon,"CVE-2025-46616 - Quantum StorNext Web GUI API RCE April 25, 2025 at 07:15AM  https:// ift.tt/0IHlzkr   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-2238'],2025-04-25,mastodon,"CVE-2025-2238 - Vikinger WordPress Privilege Escalation Vulnerability April 25, 2025 at 07:15AM  https:// ift.tt/A37mq0n   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-43865'],2025-04-25,mastodon,"CVE-2025-43865 - React Router HTTP Header Injection Vulnerability April 25, 2025 at 01:15AM  https:// ift.tt/TMGc9r0   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-2185'],2025-04-25,mastodon,"CVE-2025-2185 - ALBEDO Telecom Net.Time PTP/NTP Clock Authentication Bypass April 25, 2025 at 12:15AM  https:// ift.tt/B1NPsji   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-46275'],2025-04-25,mastodon,"CVE-2025-46275 - Fortinet FortiSwitch Unauthenticated Administrator Account Creation April 24, 2025 at 11:15PM  https:// ift.tt/8D6Cev1   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-46274'],2025-04-25,mastodon,"CVE-2025-46274 - UNI-NMS-Lite Authentication Bypass April 24, 2025 at 11:15PM  https:// ift.tt/Vw0Bhkf   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-46273'],2025-04-25,mastodon,"CVE-2025-46273 - UNI-NMS-Lite Hard-Coded Credentials Authentication Bypass April 24, 2025 at 11:15PM  https:// ift.tt/Wzodl2D   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-46272'],2025-04-25,mastodon,"CVE-2025-46272 - D-Link Router Command Injection Vulnerability April 24, 2025 at 11:15PM  https:// ift.tt/gL19J3R   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-46271'],2025-04-25,mastodon,"CVE-2025-46271 - UNI-NMS-Lite Command Injection Vulnerability April 24, 2025 at 11:15PM  https:// ift.tt/pkYDZPe   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-43859'],2025-04-24,mastodon,"CVE-2025-43859 - Apache h11 Chunked-Coding Request Smuggling Vulnerability April 24, 2025 at 07:15PM  https:// ift.tt/HmMYEvy   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-43858'],2025-04-24,mastodon,"CVE-2025-43858 - YouTubeDLSharp Windows Command Injection Vulnerability April 24, 2025 at 06:15PM  https:// ift.tt/i86Nw7H   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-31324'],2025-04-24,mastodon,"CVE-2025-31324 - SAP NetWeaver Unauthenticated Remote Code Execution April 24, 2025 at 05:15PM  https:// ift.tt/CUzqxQL   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-46264'],2025-04-24,mastodon,"CVE-2025-46264 - Angelo Mandato PowerPress Podcasting Unrestricted File Upload Vulnerability April 24, 2025 at 04:15PM  https:// ift.tt/PBfrRlk   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-46248'],2025-04-24,mastodon,"CVE-2025-46248 - M A Vinoth Kumar Frontend Dashboard SQL Injection April 24, 2025 at 04:15PM  https:// ift.tt/iWRcOo5   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-39377'],2025-04-24,mastodon,"CVE-2025-39377 - Appsero Helper SQL Injection April 24, 2025 at 04:15PM  https:// ift.tt/m5HLwSR   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-2558'],2025-04-24,mastodon,"CVE-2025-2558 - ""WordPress Theme-Wound LFI Vulnerability"" April 24, 2025 at 06:15AM  https:// ift.tt/9ufeJkP   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-28169'],2025-04-24,mastodon,"CVE-2025-28169 - BYD QIN PLUS DM-i Dilink OS Unencrypted Broadcast Vulnerability April 23, 2025 at 08:15PM  https:// ift.tt/TkLvyVn   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2021-47663'],2025-04-24,mastodon,"CVE-2021-47663 - Apache Solr JSON Web Tokens Authentication Bypass April 24, 2025 at 10:15AM  https:// ift.tt/rROH5Wf   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3776'],2025-04-24,mastodon,"CVE-2025-3776 - WordPress TargetSMS Plugin Remote Code Execution Vulnerability April 24, 2025 at 09:15AM  https:// ift.tt/n1hBaRL   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3607'],2025-04-24,mastodon,"CVE-2025-3607 - WordPress Frontend Login and Registration Blocks Privilege Escalation Vulnerability April 24, 2025 at 09:15AM  https:// ift.tt/BqWLR3J   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3604'],2025-04-24,mastodon,"CVE-2025-3604 - Flynax Bridge WordPress Privilege Escalation Vulnerability April 24, 2025 at 09:15AM  https:// ift.tt/6hWFCR9   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3603'],2025-04-24,mastodon,"CVE-2025-3603 - Flynax Bridge for WordPress Privilege Escalation Vulnerability April 24, 2025 at 09:15AM  https:// ift.tt/N1kly28   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3101'],2025-04-24,mastodon,"CVE-2025-3101 - WordPress Configurator Theme Core Privilege Escalation Vulnerability April 24, 2025 at 09:15AM  https:// ift.tt/JVnoDda   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3065'],2025-04-24,mastodon,"CVE-2025-3065 - Apache Database Toolset Remote File Deletion Vulnerability April 24, 2025 at 09:15AM  https:// ift.tt/7nVTHUF   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3058'],2025-04-24,mastodon,"CVE-2025-3058 - Xelion Webchat WordPress Privilege Escalation Vulnerability April 24, 2025 at 09:15AM  https:// ift.tt/ioP9vnX   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
['CVE-2025-3761'],2025-04-24,mastodon,"CVE-2025-3761 - My Tickets - WordPress Privilege Escalation Vulnerability April 24, 2025 at 07:15AM  https:// ift.tt/LsoyVAQ   # CVE   # IOC   # CTI   # ThreatIntelligence   # ThreatIntel   # Cybersecurity   # Recon"
