id,created_at,cve,body
114414957853181436,2025-04-28T09:48:27.480Z,['CVE-2025-4007'],"CVE-2025-4007 - Tenda W12 and i24 HTTPd Stack-Based Buffer Overflow Vulnerability April 28, 2025 at 08:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114413306016330880,2025-04-28T02:48:22.452Z,['CVE-2025-3993'],"CVE-2025-3993 - TOTOLINK N150RT Buffer Overflow Vulnerability April 28, 2025 at 01:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114413070289043018,2025-04-28T01:48:25.537Z,['CVE-2025-3992'],"CVE-2025-3992 - TOTOLINK N150RT Buffer Overflow Vulnerability April 28, 2025 at 12:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114413070256201052,2025-04-28T01:48:25.036Z,['CVE-2025-3991'],"CVE-2025-3991 - TOTOLINK N150RT Buffer Overflow Vulnerability April 28, 2025 at 12:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114413070204463897,2025-04-28T01:48:24.248Z,['CVE-2025-26692'],"CVE-2025-26692 - Quick Agent Path Traversal Vulnerability April 28, 2025 at 12:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114413070161056671,2025-04-28T01:48:23.610Z,['CVE-2025-3990'],"CVE-2025-3990 - TOTOLINK N150RT Buffer Overflow Vulnerability April 27, 2025 at 11:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114413070120649203,2025-04-28T01:48:22.968Z,['CVE-2025-3989'],"CVE-2025-3989 - TOTOLINK N150RT Buffer Overflow Vulnerability April 27, 2025 at 11:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114412600110165785,2025-04-27T23:48:51.180Z,['CVE-2025-3988'],"CVE-2025-3988 - TOTOLINK N150RT Buffer Overflow Vulnerability April 27, 2025 at 10:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114407881036637438,2025-04-27T03:48:43.828Z,['CVE-2025-46579'],"CVE-2025-46579 - GoldenDB DDE Injection Vulnerability April 27, 2025 at 02:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114407836536091581,2025-04-27T03:37:24.807Z,"['CVE-2024-38063', 'cve-2024-38063']","Analysis of CVE-2024-38063 - Exploiting The Kernel Via IPv6 [EN]: <URL> 2024-38063 ,cve ,kernel ,cybersecurity ,vulnerability ,ipv6 ,infosec ,windows"
114407836320280998,2025-04-27T03:37:20.000Z,"['CVE-2024-38063', 'cve-2024-38063']","Analysis of CVE-2024-38063 - Exploiting The Kernel Via IPv6 [EN]: <URL> 2024-38063 ,cve ,kernel ,cybersecurity ,vulnerability ,ipv6 ,infosec ,windows"
114404104856714023,2025-04-26T11:48:23.897Z,['CVE-2025-2101'],"CVE-2025-2101 - Edumall WordPress Local File Inclusion Vulnerability April 26, 2025 at 09:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114403633409160591,2025-04-26T09:48:30.177Z,['CVE-2025-2851'],"CVE-2025-2851 - GL.iNet RPC Handler Buffer Overflow April 26, 2025 at 08:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114403161072712539,2025-04-26T07:48:22.895Z,['CVE-2025-3914'],"CVE-2025-3914 - Airtable Aeropage Sync for WordPress Unauthenticated Arbitrary File Upload Vulnerability April 26, 2025 at 06:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114403161030532922,2025-04-26T07:48:22.252Z,['CVE-2025-3906'],"CVE-2025-3906 - Eduzz WooCommerce Unauthorized Data Modification Vulnerability April 26, 2025 at 06:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114403160973139648,2025-04-26T07:48:21.378Z,['CVE-2025-2105'],"CVE-2025-2105 - Jupiter X Core WordPress PHP Object Injection Vulnerability April 26, 2025 at 06:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114403160904498626,2025-04-26T07:48:20.333Z,['CVE-2024-13808'],"CVE-2024-13808 - Xpro Elementor Addons - Pro WordPress Remote Code Execution Vulnerability April 26, 2025 at 05:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114402267543227382,2025-04-26T04:01:08.000Z,"['cve-2025-25184', 'cve-2025-27111', 'cve-2025-27610', 'cve-2025-25184', 'cve-2025-27111', 'cve-2025-27610']","Rack Ruby has some neat bugs. Not my favorite framework by far but it's popular (for some reason). The bugs are neat though. opswat.com/blog/security-analy sis-of-rack-ruby-framework-CVE-2025-25184-CVE-2025-27111-and-CVE-2025-27610 ,ruby ,cve"
114400803654576220,2025-04-25T21:48:51.550Z,['CVE-2025-3935'],"CVE-2025-3935 - ScreenConnect ASP.NET ViewState Code Injection Vulnerability April 25, 2025 at 07:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114400329847987378,2025-04-25T19:48:21.835Z,['CVE-2025-25775'],"CVE-2025-25775 - Codeastro Bus Ticket Booking System SQL Injection Vulnerability April 25, 2025 at 05:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114400329815274389,2025-04-25T19:48:21.335Z,['CVE-2025-3638'],"CVE-2025-3638 - Moodle CSRF in Brickfield Tool April 25, 2025 at 03:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114400329765897087,2025-04-25T19:48:20.587Z,['CVE-2025-25777'],"CVE-2025-25777 - Codeastro Bus Ticket Booking System IDOR April 24, 2025 at 09:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114400258640933531,2025-04-25T19:30:14.000Z,"['CVE-2025-3634', 'CVE-2025-3634']","""Too much interest in Moodle courses"" is not a common security problem in universities, right? https: // access.redhat.com/security/cve/CVE-2025-3634 ,Moodle ,cve"
114399859942919073,2025-04-25T17:48:51.653Z,['CVE-2025-3928'],"CVE-2025-3928 - Commvault Web Server Remote Webshell Execution April 25, 2025 at 04:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114399621585546051,2025-04-25T16:48:14.610Z,['CVE-2025-3642'],"CVE-2025-3642 - Moodle EQUELLA Remote Code Execution Vulnerability April 25, 2025 at 03:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114399621545979009,2025-04-25T16:48:14.004Z,['CVE-2025-3641'],"CVE-2025-3641 - Moodle Dropbox Repository Remote Code Execution Vulnerability April 25, 2025 at 03:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114399621496612469,2025-04-25T16:48:13.250Z,['CVE-2025-32432'],"CVE-2025-32432 - Craft CMS Remote Code Execution Vulnerability April 25, 2025 at 03:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114398915491929928,2025-04-25T13:48:40.475Z,['CVE-2025-2470'],"CVE-2025-2470 - Nextend Social Login WordPress Plugin Privilege Escalation Vulnerability April 25, 2025 at 12:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114398915459976657,2025-04-25T13:48:39.986Z,['CVE-2024-11917'],"CVE-2024-11917 - Xing and Google Vulnerability: Authentication Bypass in JobSearch WP Job Board Plugin April 25, 2025 at 12:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114398443182357302,2025-04-25T11:48:33.630Z,['CVE-2025-1279'],"CVE-2025-1279 - ""WordPress BM Content Builder Unauthenticated Privilege Escalation"" April 25, 2025 at 09:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114397971373382349,2025-04-25T09:48:34.373Z,['CVE-2025-46616'],"CVE-2025-46616 - Quantum StorNext Web GUI API RCE April 25, 2025 at 07:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114397971292300306,2025-04-25T09:48:33.145Z,['CVE-2025-2238'],"CVE-2025-2238 - Vikinger WordPress Privilege Escalation Vulnerability April 25, 2025 at 07:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114396554360753835,2025-04-25T03:48:12.474Z,['CVE-2025-43865'],"CVE-2025-43865 - React Router HTTP Header Injection Vulnerability April 25, 2025 at 01:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114396083284877862,2025-04-25T01:48:24.430Z,['CVE-2025-2185'],"CVE-2025-2185 - ALBEDO Telecom Net.Time PTP/NTP Clock Authentication Bypass April 25, 2025 at 12:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114396083253467428,2025-04-25T01:48:23.944Z,['CVE-2025-46275'],"CVE-2025-46275 - Fortinet FortiSwitch Unauthenticated Administrator Account Creation April 24, 2025 at 11:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114396083215618783,2025-04-25T01:48:23.367Z,['CVE-2025-46274'],"CVE-2025-46274 - UNI-NMS-Lite Authentication Bypass April 24, 2025 at 11:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114396083184859623,2025-04-25T01:48:22.900Z,['CVE-2025-46273'],"CVE-2025-46273 - UNI-NMS-Lite Hard-Coded Credentials Authentication Bypass April 24, 2025 at 11:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114396083148109848,2025-04-25T01:48:22.350Z,['CVE-2025-46272'],"CVE-2025-46272 - D-Link Router Command Injection Vulnerability April 24, 2025 at 11:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114396083117632011,2025-04-25T01:48:21.875Z,['CVE-2025-46271'],"CVE-2025-46271 - UNI-NMS-Lite Command Injection Vulnerability April 24, 2025 at 11:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114395140063306383,2025-04-24T21:48:32.005Z,['CVE-2025-43859'],"CVE-2025-43859 - Apache h11 Chunked-Coding Request Smuggling Vulnerability April 24, 2025 at 07:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114394989905396022,2025-04-24T21:10:20.000Z,"['cve-2025-21204', 'cve-2025-21204']","Ha ha. ,CVE -2025-21204 <URL> ows-update-stack-to-gain-system-access-CVE-2025-21204/"
114394668305306998,2025-04-24T19:48:33.557Z,['CVE-2025-43858'],"CVE-2025-43858 - YouTubeDLSharp Windows Command Injection Vulnerability April 24, 2025 at 06:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114394668268087045,2025-04-24T19:48:32.982Z,['CVE-2025-31324'],"CVE-2025-31324 - SAP NetWeaver Unauthenticated Remote Code Execution April 24, 2025 at 05:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114394195062057542,2025-04-24T17:48:12.432Z,['CVE-2025-46264'],"CVE-2025-46264 - Angelo Mandato PowerPress Podcasting Unrestricted File Upload Vulnerability April 24, 2025 at 04:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114394195025744587,2025-04-24T17:48:11.876Z,['CVE-2025-46248'],"CVE-2025-46248 - M A Vinoth Kumar Frontend Dashboard SQL Injection April 24, 2025 at 04:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114394194942049906,2025-04-24T17:48:10.622Z,['CVE-2025-39377'],"CVE-2025-39377 - Appsero Helper SQL Injection April 24, 2025 at 04:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114394194900112274,2025-04-24T17:48:09.959Z,['CVE-2025-2558'],"CVE-2025-2558 - ""WordPress Theme-Wound LFI Vulnerability"" April 24, 2025 at 06:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114393724128011213,2025-04-24T15:48:26.550Z,['CVE-2025-28169'],"CVE-2025-28169 - BYD QIN PLUS DM-i Dilink OS Unencrypted Broadcast Vulnerability April 23, 2025 at 08:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114392930166557911,2025-04-24T12:26:31.656Z,"['cve-2025-21204', 'cve-2025-2']","This is what that inetpub folder showed up in your Windows update ,windows ,microsoft ,cve ,system ,cybersecurity <URL> 1204-system-level-privilege-escalation-in-windows-update-stack-exposed-poc-released/"
114392780040086154,2025-04-24T11:48:20.908Z,['CVE-2021-47663'],"CVE-2021-47663 - Apache Solr JSON Web Tokens Authentication Bypass April 24, 2025 at 10:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114392780001153736,2025-04-24T11:48:20.313Z,['CVE-2025-3776'],"CVE-2025-3776 - WordPress TargetSMS Plugin Remote Code Execution Vulnerability April 24, 2025 at 09:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114392779969102740,2025-04-24T11:48:19.826Z,['CVE-2025-3607'],"CVE-2025-3607 - WordPress Frontend Login and Registration Blocks Privilege Escalation Vulnerability April 24, 2025 at 09:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114392779929223191,2025-04-24T11:48:19.218Z,['CVE-2025-3604'],"CVE-2025-3604 - Flynax Bridge WordPress Privilege Escalation Vulnerability April 24, 2025 at 09:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114392779894066183,2025-04-24T11:48:18.680Z,['CVE-2025-3603'],"CVE-2025-3603 - Flynax Bridge for WordPress Privilege Escalation Vulnerability April 24, 2025 at 09:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114392779857628608,2025-04-24T11:48:18.126Z,['CVE-2025-3101'],"CVE-2025-3101 - WordPress Configurator Theme Core Privilege Escalation Vulnerability April 24, 2025 at 09:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114392779826733591,2025-04-24T11:48:17.662Z,['CVE-2025-3065'],"CVE-2025-3065 - Apache Database Toolset Remote File Deletion Vulnerability April 24, 2025 at 09:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114392779779278487,2025-04-24T11:48:16.946Z,['CVE-2025-3058'],"CVE-2025-3058 - Xelion Webchat WordPress Privilege Escalation Vulnerability April 24, 2025 at 09:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114392307953537683,2025-04-24T09:48:17.439Z,['CVE-2025-3761'],"CVE-2025-3761 - My Tickets - WordPress Privilege Escalation Vulnerability April 24, 2025 at 07:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114389005997586917,2025-04-23T19:48:33.590Z,['CVE-2025-2767'],"CVE-2025-2767 - Arista NG Firewall User-Agent Cross-Site Scripting Remote Code Execution April 23, 2025 at 05:16PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114389005957491891,2025-04-23T19:48:32.979Z,['CVE-2025-2764'],"CVE-2025-2764 - CarlinKit CPC200-CCPA Update.cgi Cryptographic Signature Verification Bypass Code Execution Vulnerability April 23, 2025 at 05:16PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388768281634046,2025-04-23T18:48:06.336Z,['CVE-2025-1050'],"CVE-2025-1050 - Sonos Era 300 Out-of-Bounds Write Remote Code Exec April 23, 2025 at 05:16PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388768229553757,2025-04-23T18:48:05.537Z,['CVE-2025-1049'],"CVE-2025-1049 - Sonos Era 300 Heap-based Buffer Overflow Remote Code Execution Vulnerability April 23, 2025 at 05:16PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388768177743771,2025-04-23T18:48:04.747Z,['CVE-2025-1048'],"CVE-2025-1048 - Sonos Era 300 Speaker SMB Use-After-Free Remote Code Execution Vulnerability April 23, 2025 at 05:16PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388535214546789,2025-04-23T17:48:50.012Z,['CVE-2025-45429'],"CVE-2025-45429 - Tenda ac9 Stack Overflow Vulnerability April 23, 2025 at 04:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388535171619192,2025-04-23T17:48:49.358Z,['CVE-2025-45428'],"CVE-2025-45428 - Tenda AC9 Stack Overflow Vulnerability April 23, 2025 at 03:16PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388535130823992,2025-04-23T17:48:48.734Z,['CVE-2025-45427'],"CVE-2025-45427 - Tenda AC9 Stack Overflow Vulnerability April 23, 2025 at 03:16PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388535068019356,2025-04-23T17:48:47.775Z,['CVE-2025-28036'],"CVE-2025-28036 - TOTOLINK A950RG Remote Command Execution Vulnerability April 22, 2025 at 06:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388535017387645,2025-04-23T17:48:47.005Z,['CVE-2025-28035'],"CVE-2025-28035 - TOTOLINK A830R Remote Command Execution Vulnerability April 22, 2025 at 06:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388534981290626,2025-04-23T17:48:46.451Z,['CVE-2025-28037'],"CVE-2025-28037 - TOTOLINK A810R/A950RG Remote Command Execution April 22, 2025 at 04:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388534950173885,2025-04-23T17:48:45.981Z,['CVE-2025-28034'],"CVE-2025-28034 - TOTOLINK Router Pre-Auth Remote Command Execution Vulnerability April 22, 2025 at 02:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388534917212203,2025-04-23T17:48:45.476Z,['CVE-2024-40446'],"CVE-2024-40446 - Forkosh Mime Tex Script Injection Vulnerability April 22, 2025 at 02:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388062197378576,2025-04-23T15:48:32.344Z,['CVE-2025-37087'],"CVE-2025-37087 - HPE Performance Cluster Manager (HPCM) Arbitrary File Access Vulnerability April 22, 2025 at 09:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388062145769610,2025-04-23T15:48:31.555Z,['CVE-2025-43951'],"CVE-2025-43951 - LabVantage Local File Inclusion Vulnerability April 22, 2025 at 06:16PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388062099300044,2025-04-23T15:48:30.845Z,['CVE-2025-43949'],"CVE-2025-43949 - MuM MapEdit SQL Injection Vulnerability April 22, 2025 at 06:16PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114388062049466593,2025-04-23T15:48:30.087Z,['CVE-2025-43946'],"CVE-2025-43946 - TCPWave DDI Remote Code Execution Vulnerability April 22, 2025 at 06:16PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
